nrNodes nrCollisions nrTransmissions OverallEnergy nrReceived nrProcessed timeToFly
250 1872 167488 29159.0551634 165614 167486 220901933.056
260 2063 174551 30388.6979236 172488 174551 230217408.512
270 2045 181227 31550.9653832 179182 181227 239022465.024
280 2319 187868 32707.1394693 185549 187868 247781359.616
290 2413 193546 33695.6587377 191133 193546 255270141.952
300 2803 201555 35089.9966771 198752 201555 265833308.16
310 2731 207991 36210.4810045 205260 207991 274321825.792
320 3092 214436 37332.5321994 211343 214435 282822213.632
330 3062 219951 38292.6737572 216889 219951 290096013.312
340 3588 228754 39825.2442255 225166 228754 301706395.648
350 3474 234345 40798.6171085 230871 234345 309080432.64
360 3851 242116 42151.5201085 238263 242114 319329697.792
370 3958 248881 43329.2821463 244923 248881 328252137.472
380 4343 254979 44390.9218959 250636 254979 336294862.848
390 4749 261448 45517.151404 256697 261446 344826904.576
400 4833 268707 46780.9170555 263874 268707 354400886.784
410 5114 275673 47993.6724664 270558 275672 363588427.776
420 5147 281428 48995.5971564 276281 281428 371178766.336
430 5623 289280 50362.6019635 283657 289280 381534863.36
440 5939 296223 51571.3531576 290283 296222 390692069.376
450 6051 301489 52488.1447158 295438 301489 397637459.968
460 6484 308198 53656.157356 301714 308198 406486040.576
470 6633 315376 54905.8212004 308743 315376 415953190.912
480 7040 321546 55979.9958897 314505 321545 424090877.952
490 7331 328369 57167.8555177 321037 328368 433089814.528
500 7070 335683 58441.1964703 328612 335682 442736336.896
1 0 680 118.38554112 680 680 896860.16
10 0 6665 1160.35239936 6665 6665 8790548.48
20 26 13389 2330.97648538 13363 13389 17658912.768
30 40 19992 3480.53490893 19952 19992 26367688.704
40 50 27030 4705.82525952 26980 27030 35650191.36
50 112 33675 5862.6957312 33563 33675 44414361.6
60 106 40020 6967.33728768 39914 40020 52782858.24
70 157 46791 8146.14390374 46633 46790 61713211.392
80 192 53845 9374.21979648 53653 53845 71016816.64
90 224 60117 10466.1523169 59893 60117 79289032.704
100 306 66909 11648.6149571 66603 66909 88247083.008
110 402 73797 12847.79085 73395 73797 97331748.864
120 364 79926 13914.8275876 79562 79926 105415360.512
130 528 87512 15235.5227566 86984 87512 115420626.944
140 516 94615 16472.1293722 94098 94614 124788858.88
150 627 100632 17519.6673147 100005 100632 132724752.384
160 734 107643 18740.2570629 106908 107642 141971644.416
170 868 114155 19873.9727155 113286 114154 150560399.36
180 1132 120875 21043.900416 119743 120875 159423488.0
190 1141 127816 22252.3034173 126675 127816 168578056.192
200 1368 134694 23449.7383465 133326 134694 177649532.928
210 1484 140154 24400.3046031 138670 140154 184850792.448
220 1381 147911 25750.7702538 146529 147910 195081592.832
230 1638 153920 26796.9154253 152282 153920 203006935.04
240 1738 160954 28021.5093903 159216 160954 212284162.048
250 1557 167507 29162.3629947 165950 167507 220926992.384
260 2043 175300 30519.0961152 173257 175300 231205273.6
270 2170 181949 31676.6629724 179779 181949 239974719.488
280 2269 188660 32845.0238054 186390 188659 248825937.92
290 2532 194066 33786.1888573 191534 194066 255955976.192
300 2793 201006 34994.4177623 198213 201006 265109225.472
310 3009 207480 36121.5177523 204470 207479 273647861.76
320 2899 213864 37232.9490678 210964 213863 282067795.968
330 3470 221732 38602.7394171 218261 221731 292444995.584
340 3548 227514 39609.3647094 223966 227514 300070944.768
350 3662 233630 40674.1381939 229968 233630 308137410.56
360 4066 241357 42019.3809531 237290 241356 318328643.584
370 3885 247989 43173.9881718 244104 247989 327075667.968
380 4344 255103 44412.5098476 250758 255102 336458407.936
390 4763 261331 45496.7821271 256567 261330 344672591.872
400 4767 268757 46789.6218747 263990 268757 354466832.384
410 4824 274958 47869.1935519 270133 274957 362645405.696
420 5259 281997 49094.6579988 276738 281997 371929227.264
430 5367 288437 50215.8387118 283069 288436 380423020.544
440 5961 296201 51567.5230372 290240 296201 390663053.312
450 5934 301396 52471.9537521 295462 301396 397514801.152
460 6174 308770 53755.7404877 302596 308770 407240458.24
470 6625 314962 54833.7452974 308337 314962 415407161.344
480 7194 322538 56152.6995026 315342 322536 425399238.656
490 7238 328703 57226.00371 321464 328702 433530331.136
500 7732 335549 58417.8675548 327816 335548 442559602.688
1 0 626 108.984336384 626 626 825638.912
10 0 6673 1161.74517043 6673 6673 8801099.776
20 12 13457 2342.81503949 13445 13457 17748598.784
30 24 20130 3504.56020992 20106 20130 26549698.56
40 71 26993 4699.38369331 26922 26993 35601391.616
50 70 33393 5813.60055091 33323 33393 44042428.416
60 143 40137 6987.70656461 39994 40137 52937170.944
70 114 47074 8195.41318042 46960 47074 62086463.488
80 184 53722 9352.80594125 53538 53722 70854590.464
90 288 60483 10529.8715935 60195 60483 79771754.496
100 330 67155 11691.4426675 66825 67155 88571535.36
110 372 73606 12814.5384407 73234 73606 97079836.672
120 498 80609 14033.7354179 80111 80609 106316177.408
130 446 86862 15122.360107 86415 86861 114563334.144
140 580 93702 16313.1793736 93122 93702 123584692.224
150 638 100655 17523.6715315 100017 100655 132755087.36
160 833 107636 18739.0383882 106802 107635 141962412.032
170 986 114149 19872.9281372 113163 114149 150552485.888
180 1056 120949 21056.7835484 119893 120949 159521087.488
190 1055 127706 22233.1528151 126651 127706 168432975.872
200 1080 134058 23339.0130463 132978 134058 176810704.896
210 1128 140884 24527.3949635 139756 140884 185813598.208
220 1472 147741 25721.1738685 146269 147741 194857377.792
230 1648 153999 26810.6690396 152351 153999 203111129.088
240 1854 161597 28133.4533652 159743 161597 213132222.464
250 1891 168332 29305.9925115 166441 168332 222015094.784
